id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1749932735823483234,Inconsiderate people annoy me,https://twitter.com/jaybell__/status/1749932735823483234,tweet,🧚 Lady LEO 🧚,@jaybell__,,,,0,0,0,0,43,0,2024-01-23 18:10:51,,
1749932480701055386,Gm today I'm gonna play badminton with my friends and I'm gonna annoy them by pitching the shuttlecock like a baseball when it's my time to serve and using the racket like a baseball bat,https://twitter.com/OrionMintVT/status/1749932480701055386,tweet,Orion Mint 🚂🌿 Vtuber,@OrionMintVT," h:@saivaarts ",,,3,0,0,4,169,0,2024-01-23 18:09:50,,
1749932386702283079,At the end of the day I don’t support any protest what so ever i think they’re a waste of time they just annoy the fuck out of people and they literally get nothing accomplished so todays ruling won’t change anything.,https://twitter.com/MasonArroyo/status/1749932386702283079,tweet,MILK,@MasonArroyo,MLGMilkCan,,,0,0,0,0,14,0,2024-01-23 18:09:27,,
1749932231294951474,"I remember that I saw this post once of someone who said that boycott didn't work. A lot of ppl said that, even if they didn't like those companies or food chains they'd go just to annoy people boycotting.
Y'all still think it doesn't work? https://t.co/GOnATu9dtT",https://twitter.com/luvvvjesse/status/1749932231294951474,tweet,𝒢𓈒 Lev 。🍉,@luvvvjesse,𓋜　　selfshipper　　🇨🇱　　𝄞,,,0,0,1,1,73,0,2024-01-23 18:08:50,"https://pbs.twimg.com/media/GEkCFhCXQAAnGL7.jpg,https://pbs.twimg.com/media/GEkCFyJW0AA7N2h.jpg",
1749932108703736083,"lestat is literally my favorite character I joined iwtvtwt for SOLELY 4 him BUT as a person of color there are things that annoy me on here and I'm allowed to talk about them
u can't convince me that making the black led show's blasian ship season about the white support is okay",https://twitter.com/LESM4ND/status/1749932108703736083,tweet,🦇,@LESM4ND,THEY/he|21|brown☪️,,,1,0,0,10,333,0,2024-01-23 18:08:21,,
1749931401724694614,@RenRuneCross Ren 😂 you guys can annoy each other all the time!,https://twitter.com/JustRaelia/status/1749931401724694614,tweet,💫 🐺 Raelia | Vtuber,@JustRaelia,,@RenRuneCross,,1,0,0,1,12,0,2024-01-23 18:05:32,,
1749931211068174650,It seems like every generation just finds a thing that's going to annoy the old people the most or just start a trend about something contrary to the status quo.,https://twitter.com/ToniaAlexis/status/1749931211068174650,tweet,ᴀɴᴛʜᴏɴɪᴀ 🦋,@ToniaAlexis,"utopia ",,,0,0,0,0,59,0,2024-01-23 18:04:47,,
1749930856888619043,@STARB1TS getting ready to annoy my non black friends,https://twitter.com/romnticmyth/status/1749930856888619043,tweet,🎰,@romnticmyth,"15 🇯🇲 ",@STARB1TS,,0,0,0,1,20,0,2024-01-23 18:03:23,,
1749930819353710927,@KekNative @ErlingStu @EarwormStu I was bored one day and created an earworm account just to annoy Stu. 😂,https://twitter.com/cathypro2/status/1749930819353710927,tweet,Cathy ♥️ Braves ⚾️🇺🇸⚾️,@cathypro2,"God’s Country…Georgia ","@KekNative,@ErlingStu,@EarwormStu",,1,0,0,2,10,0,2024-01-23 18:03:14,,
1749930486657360327,The streets annoy me,https://twitter.com/Johnugwu12/status/1749930486657360327,tweet,StrawHatTochi👨🏾‍🌾😶,@Johnugwu12,"Galway, Ireland",,,0,0,0,0,12,0,2024-01-23 18:01:54,,
1749929817686888818,"@lDxrk_Soulzl I don't really do intimate affection even with my family 😭😭😭

The physical affection I do with them is play fight with them and pick and poke to annoy them 💀",https://twitter.com/Jotaro0iledup/status/1749929817686888818,tweet,𝖳𝖺𝗋𝖺,@Jotaro0iledup,She/her + blk《08》istp,@lDxrk_Soulzl,,2,0,0,1,43,0,2024-01-23 17:59:15,,
1749929704793198816,"@d0wnsideofme @Todd_Pierce04 @RBaroff427 You shouldn’t have asked me. Now I’m going to comment on everything else in the thread just to annoy you. 

They could’ve had the best coach in the league but let him go to Philly bc Giannis only wanted a black HC. I’m (mostly) not even being facetious. Now he gets him fired lol.",https://twitter.com/jake_anderson44/status/1749929704793198816,tweet,Jake Anderson,@jake_anderson44,,"@d0wnsideofme,@Todd_Pierce04,@RBaroff427",,1,0,0,2,148,0,2024-01-23 17:58:48,,
